time_python_bubble,time_cython_bubble,time_python_selection,time_cython_selection
47.04187,11.069083,36.499726,11.302622
47.64835,10.964060,36.357983,11.328328
48.09801,11.016647,36.637252,11.233850
47.52529,11.028876,36.202729,11.260350
47.70003,11.005762,36.702312,11.410845
47.75901,10.938904,36.546112,11.458570
47.77361,11.038502,36.292208,11.355532
47.76044,11.027608,36.881979,11.350026
47.74790,10.985189,36.502757,11.227343
47.68227,11.041491,36.607754,11.380236
47.82300,11.060364,36.641921,11.309538
47.80976,11.004070,36.523766,11.351654
47.96133,11.002015,36.364956,11.365390
47.86206,11.089460,36.871826,11.306954
48.12369,10.952770,36.543698,11.394782
47.85488,11.028903,36.703110,11.298568
48.02908,10.984237,36.856600,11.264622
48.08770,11.060329,36.891221,11.305027
47.60319,11.030204,36.653944,11.352540
47.85030,11.147899,36.366096,11.385394
47.84422,10.958415,36.655531,11.390760
47.77208,10.996451,36.640329,11.214017
48.02310,10.922880,36.348990,11.403585
47.58906,11.010629,36.581977,11.321388
51.31828,23.370234,36.634537,11.340119
48.50936,11.003810,36.668766,11.658218
47.85514,11.102065,36.468769,11.341286
47.74498,11.032993,36.523919,11.399339
47.74120,10.987965,36.343107,11.327049
47.61459,10.958531,36.610598,11.273860
